preflabel,definition,notation,altlabel,related
Format Converter,"A software component or processing function that transforms data from one format or encoding into another while preserving the information required by the target workflow.",format-converter,"format converter;data converter;encoding converter","workflowOrchestrator;sourceCsdFile;sourcePdfFile"
Workflow Orchestrator,"A software component that coordinates and manages the execution, sequencing, and interaction of processing activities within a workflow.",workflow-orchestrator,"workflow orchestrator;process orchestrator;workflow controller","formatConverter;sourceCsdFile;sourcePdfFile"
Source CSD File,"A source cadastral survey data file supplied as an input to a processing or transformation workflow.",source-csd-file,"source CSD;CSD source file;cadastral survey data file","formatConverter;workflowOrchestrator;sourcePdfFile"
Source PDF File,"A source PDF document supplied as an input to a processing or transformation workflow, typically containing a human-readable representation of survey, plan, or supporting information.",source-pdf-file,"source PDF;PDF source file;source document","formatConverter;workflowOrchestrator;sourceCsdFile"
