preflabel,definition,notation,altlabel,related
absent,The z value is absent.,absent,,
unspecified,The meaning of the coordinate z value has not been specified.,us,,
observationHeight,The z value records the height of a survey observation or mark.,oh,observation height|observation-height,
geometryContext,The z value provides spatial context but does not define a parcel boundary.,gc,geometry context|geometry-context,
referenceSurface,The z value forms part of a terrain, rs,floor|ground|reference-surface,
legalBoundary,The z value forms part of legally authoritative boundary geometry.,lb,legal boundary|legal-boundary,
derivedBoundaryGeometry,The z value forms part of geometry derived from source boundary information.,dbg,derived boundary geometry|derived-boundary-geometry,
